CODE;MODEL_CODE;DATATYPE_CODE;PARENT_CRITERION_CODE;SEQUENCE_NO;IS_OVERALL_RESULT;UOM_CODE;VALUE_OPTION_LIST_CODE;AGGREGATION_TYPE;NUM_VALUE_MIN;NUM_VALUE_MAX;X_AXIS_CRITERION_CODE;X_AXIS_SEGMENT_NO;Y_AXIS_CRITERION_CODE;Y_AXIS_SEGMENT_NO;VIS_PARAM_1_CRITERION_CODE;VIS_PARAM_2_CRITERION_CODE;DEFAULT_TEXT
sap.ino.config.PSC_Q_RESULT;sap.ino.config.PRESCREENING_PRODUCT;BOOLEAN;;1;1;;;AND;;;;;;;;;Pre-Screening successful
sap.ino.config.PSC_1;sap.ino.config.PRESCREENING_PRODUCT;BOOLEAN;sap.ino.config.PSC_Q_RESULT;2;0;;;;;;;;;;;;New idea
sap.ino.config.PSC_2;sap.ino.config.PRESCREENING_PRODUCT;BOOLEAN;sap.ino.config.PSC_Q_RESULT;3;0;;;;;;;;;;;;Topic fit
sap.ino.config.PSC_3;sap.ino.config.PRESCREENING_PRODUCT;BOOLEAN;sap.ino.config.PSC_Q_RESULT;4;0;;;;;;;;;;;;Strategy fit
sap.ino.config.PSC_4;sap.ino.config.PRESCREENING_PRODUCT;BOOLEAN;sap.ino.config.PSC_Q_RESULT;5;0;;;;;;;;;;;;Quality check
sap.ino.config.RR_PROD_RESULT;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;;1;1;;sap.ino.config.RR_RESULT;MATRIX;;;sap.ino.config.RR_PROD_REWARD;2;sap.ino.config.RR_PROD_RISK;2;sap.ino.config.RR_PROD_EFFORT;sap.ino.config.RR_PROD_REVENUE;Risk/Reward Matrix
sap.ino.config.RR_PROD_REWARD;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;;2;0;;;SUM;0;60;;;;;;;Expected benefits
sap.ino.config.RR_PROD_RISK;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;;3;0;;;SUM;0;60;;;;;;;Probability of success
sap.ino.config.RR_PROD_EFFORT;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;;4;0;sap.ino.config.EURO;;;0;;;;;;;;Expected effort
sap.ino.config.RR_PROD_REVENUE;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;;5;0;sap.ino.config.EURO;;;0;;;;;;;;Expected revenue
sap.ino.config.RR_1;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_REWARD;6;0;;;;0;10;;;;;;;Desirability: Customer attractiveness
sap.ino.config.RR_2;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_REWARD;7;0;;;;0;20;;;;;;;Desirability: Value for the customer
sap.ino.config.RR_3;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_REWARD;8;0;;;;0;10;;;;;;;Viability: Market reputation
sap.ino.config.RR_4;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_REWARD;9;0;;;;0;20;;;;;;;Viability: Expected profit
sap.ino.config.RR_5;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;10;0;;;;0;10;;;;;;;Viability: Window of opportunity
sap.ino.config.RR_6;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;11;0;;;;0;5;;;;;;;Feasibility: Ability to execute
sap.ino.config.RR_7;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;12;0;;;;0;10;;;;;;;Feasibility: Law constraints
sap.ino.config.RR_8;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;13;0;;;;0;10;;;;;;;Desirability: Customer willingness to use
sap.ino.config.RR_9;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;14;0;;;;0;10;;;;;;;Viability: Market credibility
sap.ino.config.RR_10;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;15;0;;;;0;5;;;;;;;Viability: Knowledge about market
sap.ino.config.RR_11;sap.ino.config.RISK_REWARD_PRODUCT;INTEGER;sap.ino.config.RR_PROD_RISK;16;0;;;;0;10;;;;;;;Viability: Competitive landscape
