CODE;STATUS_MODEL_CODE;CURRENT_STATUS_CODE;NEXT_STATUS_CODE;STATUS_ACTION_CODE;DECISION_RELEVANT;INCLUDE_RESPONSE
sap.ino.config.1000;sap.ino.config.MINIMAL;sap.ino.config.NEW_IN_PHASE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.START_NEXT_PHASE;1;1
sap.ino.config.1001;sap.ino.config.MINIMAL;sap.ino.config.NEW_IN_PHASE;sap.ino.config.DISCONTINUED;sap.ino.config.DISCONTINUE;1;1
sap.ino.config.1002;sap.ino.config.MINIMAL;sap.ino.config.NEW_IN_PHASE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PREV_PHASE;1;1
sap.ino.config.1003;sap.ino.config.MINIMAL;sap.ino.config.DISCONTINUED;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PHASE;1;1
sap.ino.config.1010;sap.ino.config.MINIMAL_COMPLETE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.START_NEXT_PHASE;1;1
sap.ino.config.1011;sap.ino.config.MINIMAL_COMPLETE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.DISCONTINUED;sap.ino.config.DISCONTINUE;1;1
sap.ino.config.1012;sap.ino.config.MINIMAL_COMPLETE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PREV_PHASE;1;0
sap.ino.config.1013;sap.ino.config.MINIMAL_COMPLETE;sap.ino.config.DISCONTINUED;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PHASE;1;0
sap.ino.config.1014;sap.ino.config.MINIMAL_COMPLETE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.COMPLETED;sap.ino.config.COMPLETE;1;1
sap.ino.config.1015;sap.ino.config.MINIMAL_COMPLETE;sap.ino.config.COMPLETED;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PHASE;1;0
sap.ino.config.1100;sap.ino.config.SIMPLE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.IN_PROCESS;sap.ino.config.START_PROCESS;0;0
sap.ino.config.1101;sap.ino.config.SIMPLE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PREV_PHASE;1;0
sap.ino.config.1102;sap.ino.config.SIMPLE;sap.ino.config.IN_PROCESS;sap.ino.config.DISCONTINUED;sap.ino.config.DISCONTINUE;1;1
sap.ino.config.1103;sap.ino.config.SIMPLE;sap.ino.config.IN_PROCESS;sap.ino.config.NEW_IN_PHASE;sap.ino.config.START_NEXT_PHASE;1;1
sap.ino.config.1104;sap.ino.config.SIMPLE;sap.ino.config.IN_PROCESS;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PHASE;0;0
sap.ino.config.1105;sap.ino.config.SIMPLE;sap.ino.config.DISCONTINUED;sap.ino.config.NEW_IN_PHASE;sap.ino.config.RESTART_PHASE;1;0
