ACTION_CODE;ROLE_CODE;STATUS_TYPE
IDEA_VOTE;CAMPAIGN_USER;NEW
IDEA_VOTE;CAMPAIGN_COACH;NEW
IDEA_VOTE;CAMPAIGN_EXPERT;NEW
IDEA_VOTE;CAMPAIGN_MANAGER;NEW
IDEA_VOTE;CAMPAIGN_USER;IN_PROCESS
IDEA_VOTE;CAMPAIGN_COACH;IN_PROCESS
IDEA_VOTE;CAMPAIGN_EXPERT;IN_PROCESS
IDEA_VOTE;CAMPAIGN_MANAGER;IN_PROCESS
IDEA_VOTE;CAMPAIGN_USER;COMPLETED
IDEA_VOTE;CAMPAIGN_COACH;COMPLETED
IDEA_VOTE;CAMPAIGN_EXPERT;COMPLETED
IDEA_VOTE;CAMPAIGN_MANAGER;COMPLETED
IDEA_COMMENT;CAMPAIGN_USER;NEW
IDEA_COMMENT;CAMPAIGN_COACH;NEW
IDEA_COMMENT;CAMPAIGN_EXPERT;NEW
IDEA_COMMENT;CAMPAIGN_MANAGER;NEW
IDEA_COMMENT;CAMPAIGN_USER;IN_PROCESS
IDEA_COMMENT;CAMPAIGN_COACH;IN_PROCESS
IDEA_COMMENT;CAMPAIGN_EXPERT;IN_PROCESS
IDEA_COMMENT;CAMPAIGN_MANAGER;IN_PROCESS
IDEA_COMMENT;CAMPAIGN_USER;DISCONTINUED
IDEA_COMMENT;CAMPAIGN_COACH;DISCONTINUED
IDEA_COMMENT;CAMPAIGN_EXPERT;DISCONTINUED
IDEA_COMMENT;CAMPAIGN_MANAGER;DISCONTINUED
IDEA_COMMENT;CAMPAIGN_USER;COMPLETED
IDEA_COMMENT;CAMPAIGN_COACH;COMPLETED
IDEA_COMMENT;CAMPAIGN_EXPERT;COMPLETED
IDEA_COMMENT;CAMPAIGN_MANAGER;COMPLETED
IDEA_EDIT;CAMPAIGN_MANAGER;NEW
IDEA_EDIT;CAMPAIGN_COACH;NEW
IDEA_EDIT;IDEA_SUBMITTER;NEW
IDEA_EDIT;CAMPAIGN_MANAGER;IN_PROCESS
IDEA_EDIT;CAMPAIGN_COACH;IN_PROCESS
IDEA_EDIT;IDEA_SUBMITTER;IN_PROCESS
IDEA_EDIT;IDEA_SUBMITTER;DISCONTINUED
IDEA_EDIT;CAMPAIGN_MANAGER;DISCONTINUED
IDEA_EDIT;CAMPAIGN_COACH;DISCONTINUED
IDEA_EDIT;CAMPAIGN_MANAGER;COMPLETED
IDEA_EDIT;CAMPAIGN_COACH;COMPLETED
IDEA_EDIT;IDEA_SUBMITTER;COMPLETED
IDEA_DELETE;CAMPAIGN_MANAGER;NEW
IDEA_DELETE;CAMPAIGN_COACH;NEW
IDEA_DELETE;IDEA_SUBMITTER;NEW
IDEA_DELETE;IDEA_SUBMITTER;IN_PROCESS
IDEA_DELETE;CAMPAIGN_MANAGER;IN_PROCESS
IDEA_DELETE;CAMPAIGN_COACH;IN_PROCESS
IDEA_DELETE;CAMPAIGN_MANAGER;COMPLETED
IDEA_DELETE;IDEA_SUBMITTER;COMPLETED
IDEA_DELETE;CAMPAIGN_COACH;COMPLETED
IDEA_DELETE;CAMPAIGN_MANAGER;DISCONTINUED
IDEA_DELETE;CAMPAIGN_COACH;DISCONTINUED
IDEA_EVALUATION;CAMPAIGN_EXPERT;NEW
IDEA_EVALUATION;CAMPAIGN_COACH;NEW
IDEA_EVALUATION;CAMPAIGN_MANAGER;NEW
IDEA_EVALUATION;CAMPAIGN_EXPERT;IN_PROCESS
IDEA_EVALUATION;CAMPAIGN_COACH;IN_PROCESS
IDEA_EVALUATION;CAMPAIGN_MANAGER;IN_PROCESS
IDEA_EVALUATION;CAMPAIGN_MANAGER;DISCONTINUED
IDEA_EVALUATION;CAMPAIGN_COACH;DISCONTINUED
IDEA_EVALUATION;CAMPAIGN_MANAGER;COMPLETED
IDEA_EVALUATION;CAMPAIGN_COACH;COMPLETED
